Comparison: summary/mbpp-js-microsoft_phi_2-0.0-syncode.txt vs summary/mbpp-js-microsoft_phi_2-0.0-itergen.txt
mbpp_273_substract_elements: OK -> SyntaxError
mbpp_274_even_binomial_Coeff_Sum: ReferenceError -> SyntaxError
mbpp_277_dict_filter: AssertionError -> SyntaxError
mbpp_279_is_num_decagonal: AssertionError -> SyntaxError
mbpp_281_all_unique: AssertionError -> SyntaxError
mbpp_282_sub_list: OK -> SyntaxError
mbpp_285_text_match_two_three: ReferenceError -> SyntaxError
mbpp_286_max_sub_array_sum_repeated: AssertionError -> SyntaxError
mbpp_290_max_length: AssertionError -> SyntaxError
mbpp_291_count_no_of_ways: AssertionError -> SyntaxError
mbpp_294_max_val: AssertionError -> SyntaxError
mbpp_295_sum_div: AssertionError -> SyntaxError
mbpp_296_get_Inv_Count: OK -> SyntaxError
mbpp_297_flatten_list: OK -> SyntaxError
mbpp_299_max_aggregate: AssertionError -> SyntaxError
mbpp_305_start_withp: AssertionError -> SyntaxError
mbpp_306_max_sum_increasing_subseq: AssertionError -> SyntaxError
mbpp_308_large_product: OK -> SyntaxError
mbpp_310_string_to_tuple: AssertionError -> SyntaxError
mbpp_388_highest_Power_of_2: OK -> SyntaxError
mbpp_391_convert_list_dictionary: AssertionError -> SyntaxError
mbpp_392_get_max_sum: ReferenceError -> SyntaxError
mbpp_393_max_length_list: AssertionError -> SyntaxError
mbpp_395_first_non_repeating_character: OK -> SyntaxError
mbpp_396_check_char: AssertionError -> SyntaxError
mbpp_397_median_numbers: OK -> SyntaxError
mbpp_398_sum_of_digits: AssertionError -> SyntaxError
mbpp_399_bitwise_xor: OK -> SyntaxError
mbpp_405_check_tuplex: OK -> SyntaxError
mbpp_407_rearrange_bigger: AssertionError -> SyntaxError
mbpp_411_snake_to_camel: AssertionError -> SyntaxError
mbpp_412_remove_odd: OK -> SyntaxError
mbpp_413_extract_nth_element: OK -> AssertionError
mbpp_414_overlapping: AssertionError -> SyntaxError
mbpp_415_max_Product: AssertionError -> SyntaxError
mbpp_418_Find_Max: OK -> SyntaxError
mbpp_420_cube_Sum: AssertionError -> SyntaxError
mbpp_421_concatenate_tuple: AssertionError -> SyntaxError
mbpp_422_find_Average_Of_Cube: OK -> SyntaxError
mbpp_424_extract_rear: AssertionError -> SyntaxError
mbpp_425_count_element_in_list: AssertionError -> SyntaxError
mbpp_426_filter_oddnumbers: OK -> SyntaxError
mbpp_427_change_date_format: AssertionError -> SyntaxError
mbpp_430_parabola_directrix: AssertionError -> SyntaxError
mbpp_431_common_element: AssertionError -> SyntaxError
mbpp_432_median_trapezium: AssertionError -> SyntaxError
mbpp_434_text_match_one: AssertionError -> SyntaxError
mbpp_435_last_Digit: OK -> SyntaxError
mbpp_436_neg_nos: OK -> SyntaxError
mbpp_437_remove_odd: AssertionError -> SyntaxError
mbpp_438_count_bidirectional: AssertionError -> SyntaxError
mbpp_439_multiple_to_single: AssertionError -> SyntaxError
mbpp_440_find_adverb_position: AssertionError -> SyntaxError
mbpp_443_largest_neg: AssertionError -> SyntaxError
mbpp_444_trim_tuple: AssertionError -> SyntaxError
mbpp_447_cube_nums: OK -> SyntaxError
mbpp_448_cal_sum: ReferenceError -> SyntaxError
mbpp_450_extract_string: AssertionError -> SyntaxError
mbpp_451_remove_whitespaces: OK -> SyntaxError
mbpp_453_sumofFactors: OK -> SyntaxError
mbpp_454_text_match_wordz: AssertionError -> SyntaxError
mbpp_457_Find_Min: OK -> AssertionError
mbpp_459_remove_uppercase: OK -> SyntaxError
mbpp_461_upper_ctr: AssertionError -> SyntaxError
mbpp_462_combinations_list: SyntaxError -> AssertionError
mbpp_464_check_value: AssertionError -> SyntaxError
mbpp_468_max_product: AssertionError -> SyntaxError
mbpp_470_add_pairwise: AssertionError -> SyntaxError
mbpp_474_replace_char: OK -> SyntaxError
mbpp_475_sort_counter: AssertionError -> SyntaxError
mbpp_478_remove_lowercase: AssertionError -> SyntaxError
mbpp_4_heap_queue_largest: ReferenceError -> AssertionError
mbpp_554_Split: OK -> SyntaxError
mbpp_557_toggle_string: OK -> SyntaxError
mbpp_559_max_sub_array_sum: OK -> SyntaxError
mbpp_560_union_elements: Exception -> SyntaxError
mbpp_562_Find_Max_Length: SyntaxError -> OK
mbpp_564_count_Pairs: OK -> SyntaxError
mbpp_569_sort_sublists: AssertionError -> OK
mbpp_56_checks: OK -> SyntaxError
mbpp_576_is_Sub_Array: AssertionError -> SyntaxError
mbpp_577_last_Digit_Factorial: AssertionError -> SyntaxError
mbpp_578_interleave_lists: OK -> AssertionError
mbpp_57_find_Max_Num: AssertionError -> SyntaxError
mbpp_581_surface_Area: AssertionError -> SyntaxError
mbpp_583_catalan_number: AssertionError -> SyntaxError
mbpp_585_expensive_items: AssertionError -> SyntaxError
mbpp_586_split_Arr: AssertionError -> SyntaxError
mbpp_587_list_tuple: OK -> AssertionError
mbpp_588_big_diff: OK -> AssertionError
mbpp_589_perfect_squares: OK -> SyntaxError
mbpp_591_swap_List: OK -> AssertionError
mbpp_592_sum_Of_product: ReferenceError -> AssertionError
mbpp_593_removezero_ip: AssertionError -> SyntaxError
mbpp_594_diff_even_odd: ReferenceError -> SyntaxError
mbpp_595_min_Swaps: Timeout -> SyntaxError
mbpp_597_find_kth: AssertionError -> SyntaxError
mbpp_598_armstrong_number: OK -> SyntaxError
mbpp_599_sum_average: AssertionError -> SyntaxError
mbpp_59_is_octagonal: AssertionError -> SyntaxError
mbpp_602_first_repeated_char: AssertionError -> SyntaxError
mbpp_603_get_ludic: ReferenceError -> SyntaxError
mbpp_604_reverse_words: OK -> SyntaxError
mbpp_607_find_literals: SyntaxError -> AssertionError
mbpp_608_bell_Number: AssertionError -> SyntaxError
mbpp_611_max_of_nth: OK -> SyntaxError
mbpp_612_merge: AssertionError -> SyntaxError
mbpp_614_cummulative_sum: OK -> SyntaxError
mbpp_615_average_tuple: AssertionError -> SyntaxError
mbpp_616_tuple_modulo: OK -> SyntaxError
mbpp_617_min_Jumps: Timeout -> SyntaxError
mbpp_618_div_list: OK -> SyntaxError
mbpp_619_move_num: AssertionError -> SyntaxError
mbpp_61_count_Substrings: OK -> SyntaxError
mbpp_622_get_median: AssertionError -> SyntaxError
mbpp_623_nth_nums: OK -> SyntaxError
mbpp_624_is_upper: OK -> SyntaxError
mbpp_625_swap_List: OK -> SyntaxError
mbpp_626_triangle_area: AssertionError -> SyntaxError
mbpp_627_find_First_Missing: AssertionError -> SyntaxError
mbpp_628_replace_spaces: OK -> SyntaxError
mbpp_629_Split: OK -> SyntaxError
mbpp_62_smallest_num: OK -> SyntaxError
mbpp_630_get_coordinates: AssertionError -> SyntaxError
mbpp_631_replace_spaces: AssertionError -> SyntaxError
mbpp_632_move_zero: AssertionError -> SyntaxError
mbpp_633_pair_xor_Sum: AssertionError -> SyntaxError
mbpp_635_heap_sort: ReferenceError -> AssertionError
mbpp_639_sample_nam: OK -> SyntaxError
mbpp_63_max_difference: AssertionError -> SyntaxError
mbpp_640_remove_parenthesis: Exception -> SyntaxError
mbpp_643_text_match_wordz_middle: ReferenceError -> SyntaxError
mbpp_644_reverse_Array_Upto_K: AssertionError -> SyntaxError
mbpp_64_subject_marks: AssertionError -> SyntaxError
mbpp_65_recursive_list_sum: OK -> SyntaxError
mbpp_67_bell_number: AssertionError -> SyntaxError
mbpp_68_is_Monotonic: OK -> SyntaxError
mbpp_69_is_sublist: OK -> SyntaxError
mbpp_6_differ_At_One_Bit_Pos: SyntaxError -> AssertionError
mbpp_70_get_equal: OK -> SyntaxError
mbpp_71_comb_sort: AssertionError -> SyntaxError
mbpp_720_add_dict_to_tuple: OK -> SyntaxError
mbpp_721_maxAverageOfPath: SyntaxError -> AssertionError
mbpp_723_count_same_pair: OK -> SyntaxError
mbpp_726_multiply_elements: AssertionError -> SyntaxError
mbpp_728_sum_list: OK -> SyntaxError
mbpp_730_consecutive_duplicates: OK -> SyntaxError
mbpp_731_lateralsurface_cone: AssertionError -> SyntaxError
mbpp_732_replace_specialchar: AssertionError -> SyntaxError
mbpp_733_find_first_occurrence: OK -> SyntaxError
mbpp_737_check_str: AssertionError -> SyntaxError
mbpp_738_geometric_sum: AssertionError -> SyntaxError
mbpp_740_tuple_to_dict: AssertionError -> SyntaxError
mbpp_742_area_tetrahedron: AssertionError -> SyntaxError
mbpp_744_check_none: AssertionError -> SyntaxError
mbpp_745_divisible_by_digits: OK -> SyntaxError
mbpp_746_sector_area: SyntaxError -> OK
mbpp_748_capital_words_spaces: AssertionError -> SyntaxError
mbpp_749_sort_numeric_strings: OK -> SyntaxError
mbpp_750_add_tuple: AssertionError -> SyntaxError
mbpp_752_jacobsthal_num: AssertionError -> SyntaxError
mbpp_753_min_k: AssertionError -> SyntaxError
mbpp_754_extract_index_list: OK -> SyntaxError
mbpp_755_second_smallest: AssertionError -> SyntaxError
mbpp_756_text_match_zero_one: OK -> SyntaxError
mbpp_759_is_decimal: AssertionError -> SyntaxError
mbpp_760_unique_Element: OK -> SyntaxError
mbpp_762_check_monthnumber_number: SyntaxError -> AssertionError
mbpp_763_find_min_diff: AssertionError -> SyntaxError
mbpp_764_number_ctr: AssertionError -> SyntaxError
mbpp_765_is_polite: AssertionError -> SyntaxError
mbpp_766_pair_wise: AssertionError -> SyntaxError
mbpp_769_Diff: AssertionError -> SyntaxError
mbpp_770_odd_num_sum: AssertionError -> SyntaxError
mbpp_771_check_expression: OK -> SyntaxError
mbpp_772_remove_length: OK -> SyntaxError
mbpp_775_odd_position: AssertionError -> SyntaxError
mbpp_777_find_sum: OK -> SyntaxError
mbpp_778_pack_consecutive_duplicates: OK -> SyntaxError
mbpp_783_rgb_to_hsv: AssertionError -> SyntaxError
mbpp_784_mul_even_odd: AssertionError -> SyntaxError
mbpp_785_tuple_str_int: AssertionError -> SyntaxError
mbpp_787_text_match_three: AssertionError -> SyntaxError
mbpp_788_new_tuple: AssertionError -> SyntaxError
mbpp_790_even_position: AssertionError -> SyntaxError
mbpp_791_remove_nested: AssertionError -> SyntaxError
mbpp_792_count_list: AssertionError -> SyntaxError
mbpp_793_last: OK -> SyntaxError
mbpp_794_text_starta_endb: AssertionError -> SyntaxError
mbpp_798__sum: OK -> SyntaxError
mbpp_800_remove_all_spaces: OK -> SyntaxError
mbpp_801_test_three_equal: AssertionError -> SyntaxError
mbpp_804_is_product_even: OK -> SyntaxError
mbpp_805_max_sum_list: OK -> SyntaxError
mbpp_806_max_run_uppercase: OK -> SyntaxError
mbpp_83_get_Char: AssertionError -> SyntaxError
mbpp_84_sequence: AssertionError -> SyntaxError
mbpp_88_freq_count: OK -> SyntaxError
mbpp_89_closest_num: AssertionError -> SyntaxError
mbpp_8_square_nums: OK -> SyntaxError
mbpp_90_len_log: OK -> SyntaxError
mbpp_91_find_substring: Exception -> OK
mbpp_92_is_undulating: AssertionError -> SyntaxError
mbpp_93_power: OK -> AssertionError
mbpp_97_frequency_lists: OK -> SyntaxError
mbpp_99_decimal_to_binary: OK -> SyntaxError
