Comparison: mbpp-js-Qwen_Qwen2.5_Coder_3B_Instruct-0.0-syncode vs mbpp-js-Qwen_Qwen2.5_Coder_3B_Instruct-0.01-itergen
mbpp_392_get_max_sum: Exception -> SyntaxError
mbpp_394_check_distinct: SyntaxError -> AssertionError
mbpp_398_sum_of_digits: AssertionError -> SyntaxError
mbpp_404_minimum: SyntaxError -> OK
mbpp_407_rearrange_bigger: AssertionError -> SyntaxError
mbpp_408_k_smallest_pairs: AssertionError -> SyntaxError
mbpp_409_min_product_tuple: AssertionError -> SyntaxError
mbpp_411_snake_to_camel: AssertionError -> SyntaxError
mbpp_413_extract_nth_element: OK -> SyntaxError
mbpp_415_max_Product: AssertionError -> SyntaxError
mbpp_424_extract_rear: SyntaxError -> OK
mbpp_425_count_element_in_list: OK -> SyntaxError
mbpp_431_common_element: AssertionError -> SyntaxError
mbpp_432_median_trapezium: OK -> SyntaxError
mbpp_433_check_greater: AssertionError -> SyntaxError
mbpp_434_text_match_one: OK -> SyntaxError
mbpp_442_positive_count: AssertionError -> SyntaxError
mbpp_448_cal_sum: AssertionError -> SyntaxError
mbpp_453_sumofFactors: OK -> SyntaxError
mbpp_455_check_monthnumb_number: OK -> AssertionError
mbpp_459_remove_uppercase: OK -> SyntaxError
mbpp_462_combinations_list: AssertionError -> SyntaxError
mbpp_463_max_subarray_product: OK -> SyntaxError
mbpp_465_drop_empty: OK -> SyntaxError
mbpp_468_max_product: AssertionError -> SyntaxError
mbpp_471_find_remainder: OK -> SyntaxError
mbpp_476_big_sum: OK -> SyntaxError
mbpp_478_remove_lowercase: OK -> ReferenceError
mbpp_4_heap_queue_largest: OK -> SyntaxError
mbpp_555_difference: OK -> SyntaxError
mbpp_556_find_Odd_Pair: OK -> SyntaxError
mbpp_557_toggle_string: OK -> SyntaxError
mbpp_558_digit_distance_nums: OK -> SyntaxError
mbpp_559_max_sub_array_sum: OK -> SyntaxError
mbpp_566_sum_digits: OK -> SyntaxError
mbpp_567_issort_list: OK -> SyntaxError
mbpp_569_sort_sublists: OK -> SyntaxError
mbpp_572_two_unique_nums: AssertionError -> SyntaxError
mbpp_573_unique_product: OK -> SyntaxError
mbpp_577_last_Digit_Factorial: OK -> SyntaxError
mbpp_578_interleave_lists: OK -> SyntaxError
mbpp_583_catalan_number: OK -> SyntaxError
mbpp_588_big_diff: OK -> SyntaxError
mbpp_589_perfect_squares: OK -> SyntaxError
mbpp_591_swap_List: OK -> SyntaxError
mbpp_592_sum_Of_product: AssertionError -> SyntaxError
mbpp_593_removezero_ip: AssertionError -> SyntaxError
mbpp_595_min_Swaps: AssertionError -> SyntaxError
mbpp_597_find_kth: OK -> SyntaxError
mbpp_598_armstrong_number: OK -> SyntaxError
mbpp_603_get_ludic: AssertionError -> Timeout
mbpp_604_reverse_words: OK -> SyntaxError
mbpp_605_prime_num: OK -> SyntaxError
mbpp_607_find_literals: AssertionError -> SyntaxError
mbpp_619_move_num: SyntaxError -> AssertionError
mbpp_61_count_Substrings: AssertionError -> SyntaxError
mbpp_625_swap_List: OK -> SyntaxError
mbpp_627_find_First_Missing: AssertionError -> SyntaxError
mbpp_631_replace_spaces: AssertionError -> SyntaxError
mbpp_633_pair_xor_Sum: OK -> SyntaxError
mbpp_639_sample_nam: OK -> SyntaxError
mbpp_644_reverse_Array_Upto_K: OK -> SyntaxError
mbpp_67_bell_number: AssertionError -> SyntaxError
mbpp_69_is_sublist: OK -> AssertionError
mbpp_6_differ_At_One_Bit_Pos: OK -> SyntaxError
mbpp_721_maxAverageOfPath: OK -> SyntaxError
mbpp_722_filter_data: AssertionError -> Timeout
mbpp_723_count_same_pair: OK -> SyntaxError
mbpp_724_power_base_sum: AssertionError -> SyntaxError
mbpp_730_consecutive_duplicates: OK -> SyntaxError
mbpp_732_replace_specialchar: OK -> SyntaxError
mbpp_733_find_first_occurrence: OK -> SyntaxError
mbpp_734_sum_Of_Subarray_Prod: OK -> SyntaxError
mbpp_735_toggle_middle_bits: AssertionError -> SyntaxError
mbpp_737_check_str: OK -> SyntaxError
mbpp_739_find_Index: AssertionError -> SyntaxError
mbpp_743_rotate_right: Exception -> SyntaxError
mbpp_744_check_none: SyntaxError -> AssertionError
mbpp_745_divisible_by_digits: OK -> SyntaxError
mbpp_747_lcs_of_three: OK -> SyntaxError
mbpp_748_capital_words_spaces: AssertionError -> SyntaxError
mbpp_74_is_samepatterns: AssertionError -> SyntaxError
mbpp_751_check_min_heap: OK -> SyntaxError
mbpp_753_min_k: AssertionError -> SyntaxError
mbpp_754_extract_index_list: AssertionError -> SyntaxError
mbpp_755_second_smallest: AssertionError -> SyntaxError
mbpp_756_text_match_zero_one: OK -> SyntaxError
mbpp_759_is_decimal: AssertionError -> SyntaxError
mbpp_760_unique_Element: OK -> SyntaxError
mbpp_763_find_min_diff: AssertionError -> SyntaxError
mbpp_771_check_expression: OK -> SyntaxError
mbpp_772_remove_length: SyntaxError -> OK
mbpp_773_occurance_substring: AssertionError -> SyntaxError
mbpp_775_odd_position: AssertionError -> SyntaxError
mbpp_777_find_sum: AssertionError -> SyntaxError
mbpp_782_odd_length_sum: AssertionError -> SyntaxError
mbpp_785_tuple_str_int: SyntaxError -> ReferenceError
mbpp_787_text_match_three: OK -> SyntaxError
mbpp_790_even_position: OK -> SyntaxError
mbpp_791_remove_nested: SyntaxError -> ReferenceError
mbpp_793_last: OK -> SyntaxError
mbpp_794_text_starta_endb: OK -> SyntaxError
mbpp_799_left_rotate: OK -> SyntaxError
mbpp_802_count_rotation: AssertionError -> SyntaxError
mbpp_804_is_product_even: OK -> SyntaxError
mbpp_806_max_run_uppercase: OK -> AssertionError
mbpp_807_first_odd: OK -> SyntaxError
mbpp_83_get_Char: AssertionError -> SyntaxError
mbpp_84_sequence: AssertionError -> SyntaxError
mbpp_89_closest_num: AssertionError -> SyntaxError
mbpp_92_is_undulating: OK -> SyntaxError
mbpp_96_divisor: OK -> SyntaxError
mbpp_9_find_Rotations: AssertionError -> SyntaxError
