Comparison: humaneval-js-Qwen_Qwen2.5_Coder_3B_Instruct-0.0-syncode vs humaneval-js-Qwen_Qwen2.5_Coder_3B_Instruct-0.0-unconstrained
HumanEval_20_find_closest_elements: SyntaxError -> OK
HumanEval_25_factorize: SyntaxError -> OK
HumanEval_2_truncate_number: SyntaxError -> OK
HumanEval_30_get_positive: SyntaxError -> OK
HumanEval_31_is_prime: SyntaxError -> OK
HumanEval_35_max_element: SyntaxError -> OK
HumanEval_36_fizz_buzz: SyntaxError -> OK
HumanEval_3_below_zero: SyntaxError -> OK
HumanEval_43_pairs_sum_to_zero: SyntaxError -> OK
HumanEval_45_triangle_area: SyntaxError -> OK
HumanEval_46_fib4: SyntaxError -> OK
HumanEval_47_median: SyntaxError -> OK
HumanEval_49_modp: SyntaxError -> AssertionError
HumanEval_56_correct_bracketing: SyntaxError -> OK
HumanEval_57_monotonic: SyntaxError -> OK
HumanEval_58_common: SyntaxError -> OK
HumanEval_59_largest_prime_factor: SyntaxError -> OK
HumanEval_61_correct_bracketing: SyntaxError -> OK
HumanEval_62_derivative: SyntaxError -> OK
HumanEval_63_fibfib: SyntaxError -> OK
HumanEval_64_vowels_count: SyntaxError -> AssertionError
HumanEval_65_circular_shift: SyntaxError -> OK
HumanEval_66_digitSum: SyntaxError -> OK
HumanEval_67_fruit_distribution: SyntaxError -> OK
HumanEval_69_search: SyntaxError -> OK
HumanEval_70_strange_sort_list: SyntaxError -> OK
HumanEval_71_triangle_area: SyntaxError -> OK
HumanEval_72_will_it_fly: SyntaxError -> OK
HumanEval_73_smallest_change: SyntaxError -> OK
HumanEval_74_total_match: SyntaxError -> OK
HumanEval_75_is_multiply_prime: SyntaxError -> AssertionError
HumanEval_76_is_simple_power: SyntaxError -> OK
HumanEval_77_iscube: SyntaxError -> OK
HumanEval_78_hex_key: SyntaxError -> OK
HumanEval_80_is_happy: SyntaxError -> OK
HumanEval_82_prime_length: SyntaxError -> OK
HumanEval_84_solve: SyntaxError -> AssertionError
HumanEval_85_add: SyntaxError -> OK
HumanEval_86_anti_shuffle: SyntaxError -> OK
HumanEval_87_get_row: SyntaxError -> OK
HumanEval_88_sort_array: SyntaxError -> OK
HumanEval_89_encrypt: SyntaxError -> OK
HumanEval_8_sum_product: SyntaxError -> OK
HumanEval_90_next_smallest: SyntaxError -> OK
HumanEval_91_is_bored: SyntaxError -> AssertionError
HumanEval_92_any_int: SyntaxError -> AssertionError
HumanEval_93_encode: SyntaxError -> AssertionError
HumanEval_95_check_dict_case: SyntaxError -> AssertionError
HumanEval_97_multiply: SyntaxError -> OK
HumanEval_98_count_upper: SyntaxError -> OK
HumanEval_99_closest_integer: SyntaxError -> AssertionError
