Comparison: summary/mbpp-js-microsoft_phi_2-0.0-unconstrained.txt vs summary/mbpp-js-microsoft_phi_2-0.0-syncode.txt
mbpp_261_division_elements: SyntaxError -> OK
mbpp_262_split_two_parts: SyntaxError -> AssertionError
mbpp_265_list_split: SyntaxError -> AssertionError
mbpp_267_square_Sum: SyntaxError -> AssertionError
mbpp_270_sum_even_and_even_index: SyntaxError -> OK
mbpp_271_even_Power_Sum: SyntaxError -> OK
mbpp_272_rear_extract: SyntaxError -> OK
mbpp_273_substract_elements: SyntaxError -> OK
mbpp_274_even_binomial_Coeff_Sum: SyntaxError -> ReferenceError
mbpp_277_dict_filter: SyntaxError -> AssertionError
mbpp_279_is_num_decagonal: SyntaxError -> AssertionError
mbpp_280_sequential_search: SyntaxError -> AssertionError
mbpp_281_all_unique: SyntaxError -> AssertionError
mbpp_282_sub_list: SyntaxError -> OK
mbpp_284_check_element: SyntaxError -> OK
mbpp_285_text_match_two_three: SyntaxError -> ReferenceError
mbpp_286_max_sub_array_sum_repeated: SyntaxError -> AssertionError
mbpp_290_max_length: SyntaxError -> AssertionError
mbpp_291_count_no_of_ways: SyntaxError -> AssertionError
mbpp_293_otherside_rightangle: SyntaxError -> OK
mbpp_294_max_val: SyntaxError -> AssertionError
mbpp_295_sum_div: SyntaxError -> AssertionError
mbpp_296_get_Inv_Count: SyntaxError -> OK
mbpp_297_flatten_list: SyntaxError -> OK
mbpp_299_max_aggregate: SyntaxError -> AssertionError
mbpp_305_start_withp: SyntaxError -> AssertionError
mbpp_306_max_sum_increasing_subseq: SyntaxError -> AssertionError
mbpp_308_large_product: SyntaxError -> OK
mbpp_309_maximum: SyntaxError -> OK
mbpp_310_string_to_tuple: SyntaxError -> AssertionError
mbpp_388_highest_Power_of_2: SyntaxError -> OK
mbpp_389_find_lucas: SyntaxError -> AssertionError
mbpp_390_add_string: SyntaxError -> AssertionError
mbpp_391_convert_list_dictionary: SyntaxError -> AssertionError
mbpp_392_get_max_sum: SyntaxError -> ReferenceError
mbpp_393_max_length_list: SyntaxError -> AssertionError
mbpp_394_check_distinct: SyntaxError -> OK
mbpp_395_first_non_repeating_character: SyntaxError -> OK
mbpp_396_check_char: SyntaxError -> AssertionError
mbpp_397_median_numbers: SyntaxError -> OK
mbpp_398_sum_of_digits: SyntaxError -> AssertionError
mbpp_399_bitwise_xor: SyntaxError -> OK
mbpp_3_is_not_prime: SyntaxError -> OK
mbpp_401_add_nested_tuples: SyntaxError -> OK
mbpp_404_minimum: SyntaxError -> OK
mbpp_405_check_tuplex: SyntaxError -> OK
mbpp_407_rearrange_bigger: SyntaxError -> AssertionError
mbpp_408_k_smallest_pairs: SyntaxError -> AssertionError
mbpp_409_min_product_tuple: SyntaxError -> OK
mbpp_410_min_val: SyntaxError -> AssertionError
mbpp_411_snake_to_camel: SyntaxError -> AssertionError
mbpp_412_remove_odd: SyntaxError -> OK
mbpp_413_extract_nth_element: SyntaxError -> OK
mbpp_414_overlapping: SyntaxError -> AssertionError
mbpp_415_max_Product: SyntaxError -> AssertionError
mbpp_418_Find_Max: SyntaxError -> OK
mbpp_419_round_and_sum: SyntaxError -> OK
mbpp_420_cube_Sum: SyntaxError -> AssertionError
mbpp_421_concatenate_tuple: SyntaxError -> AssertionError
mbpp_422_find_Average_Of_Cube: SyntaxError -> OK
mbpp_424_extract_rear: SyntaxError -> AssertionError
mbpp_425_count_element_in_list: SyntaxError -> AssertionError
mbpp_426_filter_oddnumbers: SyntaxError -> OK
mbpp_427_change_date_format: SyntaxError -> AssertionError
mbpp_429_and_tuples: SyntaxError -> OK
mbpp_430_parabola_directrix: SyntaxError -> AssertionError
mbpp_432_median_trapezium: SyntaxError -> AssertionError
mbpp_433_check_greater: SyntaxError -> AssertionError
mbpp_436_neg_nos: SyntaxError -> OK
mbpp_437_remove_odd: SyntaxError -> AssertionError
mbpp_438_count_bidirectional: SyntaxError -> AssertionError
mbpp_439_multiple_to_single: SyntaxError -> AssertionError
mbpp_440_find_adverb_position: SyntaxError -> AssertionError
mbpp_442_positive_count: SyntaxError -> AssertionError
mbpp_443_largest_neg: SyntaxError -> AssertionError
mbpp_444_trim_tuple: SyntaxError -> AssertionError
mbpp_445_index_multiplication: SyntaxError -> AssertionError
mbpp_447_cube_nums: SyntaxError -> OK
mbpp_448_cal_sum: SyntaxError -> ReferenceError
mbpp_450_extract_string: SyntaxError -> AssertionError
mbpp_452_loss_amount: SyntaxError -> AssertionError
mbpp_453_sumofFactors: SyntaxError -> OK
mbpp_454_text_match_wordz: SyntaxError -> AssertionError
mbpp_455_check_monthnumb_number: SyntaxError -> AssertionError
mbpp_456_reverse_string_list: SyntaxError -> OK
mbpp_457_Find_Min: SyntaxError -> OK
mbpp_459_remove_uppercase: SyntaxError -> OK
mbpp_460_Extract: SyntaxError -> OK
mbpp_461_upper_ctr: SyntaxError -> AssertionError
mbpp_463_max_subarray_product: SyntaxError -> AssertionError
mbpp_464_check_value: SyntaxError -> AssertionError
mbpp_465_drop_empty: SyntaxError -> AssertionError
mbpp_468_max_product: SyntaxError -> AssertionError
mbpp_470_add_pairwise: SyntaxError -> AssertionError
mbpp_471_find_remainder: SyntaxError -> OK
mbpp_472_check_Consecutive: SyntaxError -> OK
mbpp_474_replace_char: SyntaxError -> OK
mbpp_475_sort_counter: SyntaxError -> AssertionError
mbpp_476_big_sum: SyntaxError -> OK
mbpp_478_remove_lowercase: SyntaxError -> AssertionError
mbpp_4_heap_queue_largest: SyntaxError -> ReferenceError
mbpp_554_Split: SyntaxError -> OK
mbpp_555_difference: SyntaxError -> OK
mbpp_557_toggle_string: SyntaxError -> OK
mbpp_559_max_sub_array_sum: SyntaxError -> OK
mbpp_560_union_elements: SyntaxError -> Exception
mbpp_564_count_Pairs: SyntaxError -> OK
mbpp_565_split: SyntaxError -> OK
mbpp_566_sum_digits: SyntaxError -> OK
mbpp_567_issort_list: SyntaxError -> OK
mbpp_568_empty_list: SyntaxError -> OK
mbpp_569_sort_sublists: SyntaxError -> AssertionError
mbpp_56_checks: SyntaxError -> OK
mbpp_572_two_unique_nums: SyntaxError -> AssertionError
mbpp_573_unique_product: SyntaxError -> OK
mbpp_574_surfacearea_cylinder: SyntaxError -> AssertionError
mbpp_576_is_Sub_Array: SyntaxError -> AssertionError
mbpp_577_last_Digit_Factorial: SyntaxError -> AssertionError
mbpp_578_interleave_lists: SyntaxError -> OK
mbpp_579_find_dissimilar: SyntaxError -> AssertionError
mbpp_580_extract_even: SyntaxError -> AssertionError
mbpp_581_surface_Area: SyntaxError -> AssertionError
mbpp_583_catalan_number: SyntaxError -> AssertionError
mbpp_585_expensive_items: SyntaxError -> AssertionError
mbpp_586_split_Arr: SyntaxError -> AssertionError
mbpp_587_list_tuple: SyntaxError -> OK
mbpp_588_big_diff: SyntaxError -> OK
mbpp_589_perfect_squares: SyntaxError -> OK
mbpp_58_opposite_Signs: SyntaxError -> OK
mbpp_591_swap_List: SyntaxError -> OK
mbpp_592_sum_Of_product: SyntaxError -> ReferenceError
mbpp_593_removezero_ip: SyntaxError -> AssertionError
mbpp_594_diff_even_odd: SyntaxError -> ReferenceError
mbpp_595_min_Swaps: SyntaxError -> Timeout
mbpp_597_find_kth: SyntaxError -> AssertionError
mbpp_598_armstrong_number: SyntaxError -> OK
mbpp_599_sum_average: SyntaxError -> AssertionError
mbpp_59_is_octagonal: SyntaxError -> AssertionError
mbpp_600_is_Even: SyntaxError -> OK
mbpp_602_first_repeated_char: SyntaxError -> AssertionError
mbpp_603_get_ludic: SyntaxError -> ReferenceError
mbpp_604_reverse_words: SyntaxError -> OK
mbpp_605_prime_num: SyntaxError -> OK
mbpp_608_bell_Number: SyntaxError -> AssertionError
mbpp_611_max_of_nth: SyntaxError -> OK
mbpp_612_merge: SyntaxError -> AssertionError
mbpp_614_cummulative_sum: SyntaxError -> OK
mbpp_615_average_tuple: SyntaxError -> AssertionError
mbpp_616_tuple_modulo: SyntaxError -> OK
mbpp_617_min_Jumps: SyntaxError -> Timeout
mbpp_618_div_list: SyntaxError -> OK
mbpp_619_move_num: SyntaxError -> AssertionError
mbpp_61_count_Substrings: SyntaxError -> OK
mbpp_622_get_median: SyntaxError -> AssertionError
mbpp_623_nth_nums: SyntaxError -> OK
mbpp_625_swap_List: SyntaxError -> OK
mbpp_626_triangle_area: SyntaxError -> AssertionError
mbpp_627_find_First_Missing: SyntaxError -> AssertionError
mbpp_629_Split: SyntaxError -> OK
mbpp_62_smallest_num: SyntaxError -> OK
mbpp_630_get_coordinates: SyntaxError -> AssertionError
mbpp_631_replace_spaces: SyntaxError -> AssertionError
mbpp_632_move_zero: SyntaxError -> AssertionError
mbpp_633_pair_xor_Sum: SyntaxError -> AssertionError
mbpp_635_heap_sort: SyntaxError -> ReferenceError
mbpp_637_noprofit_noloss: SyntaxError -> AssertionError
mbpp_639_sample_nam: SyntaxError -> OK
mbpp_63_max_difference: SyntaxError -> AssertionError
mbpp_640_remove_parenthesis: SyntaxError -> Exception
mbpp_643_text_match_wordz_middle: SyntaxError -> ReferenceError
mbpp_644_reverse_Array_Upto_K: SyntaxError -> AssertionError
mbpp_64_subject_marks: SyntaxError -> AssertionError
mbpp_65_recursive_list_sum: SyntaxError -> OK
mbpp_66_pos_count: SyntaxError -> OK
mbpp_67_bell_number: SyntaxError -> AssertionError
mbpp_68_is_Monotonic: SyntaxError -> OK
mbpp_69_is_sublist: SyntaxError -> OK
mbpp_70_get_equal: SyntaxError -> OK
mbpp_71_comb_sort: SyntaxError -> AssertionError
mbpp_720_add_dict_to_tuple: SyntaxError -> OK
mbpp_723_count_same_pair: SyntaxError -> OK
mbpp_726_multiply_elements: SyntaxError -> AssertionError
mbpp_728_sum_list: SyntaxError -> OK
mbpp_72_dif_Square: SyntaxError -> AssertionError
mbpp_730_consecutive_duplicates: SyntaxError -> OK
mbpp_731_lateralsurface_cone: SyntaxError -> AssertionError
mbpp_733_find_first_occurrence: SyntaxError -> OK
mbpp_734_sum_Of_Subarray_Prod: SyntaxError -> OK
mbpp_736_left_insertion: SyntaxError -> OK
mbpp_737_check_str: SyntaxError -> AssertionError
mbpp_738_geometric_sum: SyntaxError -> AssertionError
mbpp_739_find_Index: SyntaxError -> OK
mbpp_740_tuple_to_dict: SyntaxError -> AssertionError
mbpp_742_area_tetrahedron: SyntaxError -> AssertionError
mbpp_744_check_none: SyntaxError -> AssertionError
mbpp_745_divisible_by_digits: SyntaxError -> OK
mbpp_748_capital_words_spaces: SyntaxError -> AssertionError
mbpp_749_sort_numeric_strings: SyntaxError -> OK
mbpp_750_add_tuple: SyntaxError -> AssertionError
mbpp_751_check_min_heap: SyntaxError -> OK
mbpp_752_jacobsthal_num: SyntaxError -> AssertionError
mbpp_753_min_k: SyntaxError -> AssertionError
mbpp_754_extract_index_list: SyntaxError -> OK
mbpp_755_second_smallest: SyntaxError -> AssertionError
mbpp_757_count_reverse_pairs: SyntaxError -> AssertionError
mbpp_759_is_decimal: SyntaxError -> AssertionError
mbpp_760_unique_Element: SyntaxError -> OK
mbpp_763_find_min_diff: SyntaxError -> AssertionError
mbpp_764_number_ctr: SyntaxError -> AssertionError
mbpp_765_is_polite: SyntaxError -> AssertionError
mbpp_766_pair_wise: SyntaxError -> AssertionError
mbpp_769_Diff: SyntaxError -> AssertionError
mbpp_770_odd_num_sum: SyntaxError -> AssertionError
mbpp_771_check_expression: SyntaxError -> OK
mbpp_772_remove_length: SyntaxError -> OK
mbpp_775_odd_position: SyntaxError -> AssertionError
mbpp_777_find_sum: SyntaxError -> OK
mbpp_778_pack_consecutive_duplicates: SyntaxError -> OK
mbpp_781_count_divisors: SyntaxError -> AssertionError
mbpp_782_odd_length_sum: SyntaxError -> AssertionError
mbpp_783_rgb_to_hsv: SyntaxError -> AssertionError
mbpp_784_mul_even_odd: SyntaxError -> AssertionError
mbpp_785_tuple_str_int: SyntaxError -> AssertionError
mbpp_786_right_insertion: SyntaxError -> OK
mbpp_788_new_tuple: SyntaxError -> AssertionError
mbpp_790_even_position: SyntaxError -> AssertionError
mbpp_791_remove_nested: SyntaxError -> AssertionError
mbpp_792_count_list: SyntaxError -> AssertionError
mbpp_793_last: SyntaxError -> OK
mbpp_796_return_sum: SyntaxError -> AssertionError
mbpp_797_sum_in_range: SyntaxError -> OK
mbpp_798__sum: SyntaxError -> OK
mbpp_802_count_rotation: SyntaxError -> AssertionError
mbpp_804_is_product_even: SyntaxError -> OK
mbpp_805_max_sum_list: SyntaxError -> OK
mbpp_806_max_run_uppercase: SyntaxError -> OK
mbpp_807_first_odd: SyntaxError -> OK
mbpp_808_check_K: SyntaxError -> AssertionError
mbpp_809_check_smaller: SyntaxError -> AssertionError
mbpp_83_get_Char: SyntaxError -> AssertionError
mbpp_84_sequence: SyntaxError -> AssertionError
mbpp_87_merge_dictionaries_three: SyntaxError -> AssertionError
mbpp_88_freq_count: SyntaxError -> OK
mbpp_89_closest_num: SyntaxError -> AssertionError
mbpp_8_square_nums: SyntaxError -> OK
mbpp_90_len_log: SyntaxError -> OK
mbpp_91_find_substring: SyntaxError -> Exception
mbpp_92_is_undulating: SyntaxError -> AssertionError
mbpp_95_Find_Min_Length: SyntaxError -> OK
mbpp_96_divisor: SyntaxError -> OK
mbpp_97_frequency_lists: SyntaxError -> OK
mbpp_99_decimal_to_binary: SyntaxError -> OK
